Country,ISO3,Region,CPI score 2017,CPI score 2016,CPI score 2015,CPI score 2014,CPI Score 2013,CPI Score 2012
Greece,GRC,WE/EU,48,44,46,43,40,36
Jordan,JOR,MENA,48,48,53,49,45,48
Romania,ROU,WE/EU,48,48,46,43,43,44
Cuba,CUB,AME,47,47,47,46,46,48
Malaysia,MYS,AP,47,49,50,52,50,49
Montenegro,MNE,ECA,46,45,44,42,44,41
Sao Tome and Principe,STP,SSA,46,46,42,42,42,42
Hungary,HUN,WE/EU,45,48,51,54,54,55
Senegal,SEN,SSA,45,45,44,43,41,36
Belarus,BLR,ECA,44,40,32,31,29,31
Jamaica,JAM,AME,44,39,41,38,38,38
Oman,OMN,MENA,44,45,45,45,47,47
Bulgaria,BGR,WE/EU,43,41,41,43,41,41
South Africa,ZAF,SSA,43,45,44,44,42,43
Vanuatu,VUT,AP,43,,,,,
Burkina Faso,BFA,SSA,42,42,38,38,38,38
Lesotho,LSO,SSA,42,39,44,49,49,45
Tunisia,TUN,MENA,42,41,38,40,41,41
China,CHN,AP,41,40,37,36,40,39
Serbia,SRB,ECA,41,42,40,41,42,39
Suriname,SUR,AME,41,45,36,36,36,37
Trinidad and Tobago,TTO,AME,41,35,39,38,38,39
Ghana,GHA,SSA,40,43,47,48,46,45
India,IND,AP,40,40,38,38,36,36
Morocco,MAR,MENA,40,37,36,39,37,37
Turkey,TUR,ECA,40,41,42,45,50,49
Argentina,ARG,AME,39,36,32,34,34,35
Benin,BEN,SSA,39,36,37,39,36,36
Kosovo,KSV,ECA,39,36,33,33,33,34
Kuwait,KWT,MENA,39,41,49,44,43,44
Solomon Islands,SLB,AP,39,42,,,,
Swaziland,SWZ,SSA,39,,,43,39,37
Albania,ALB,ECA,38,39,36,33,31,33
Bosnia and Herzegovina,BIH,ECA,38,39,38,39,42,42
Guyana,GUY,AME,38,34,29,30,27,28
Sri Lanka,LKA,AP,38,36,37,38,37,40
Timor-Leste,TLS,AP,38,35,28,28,30,33
Brazil,BRA,AME,37,40,38,43,42,43
Colombia,COL,AME,37,37,37,37,36,36
Indonesia,IDN,AP,37,37,36,34,32,32
Panama,PAN,AME,37,38,39,37,35,38
Peru,PER,AME,37,35,36,38,38,38
Thailand,THA,AP,37,35,38,38,35,37
Zambia,ZMB,SSA,37,38,38,38,38,37
Bahrain,BHR,MENA,36,43,51,49,48,51
C�te D'Ivoire,CIV,SSA,36,34,32,32,27,29
Mongolia,MNG,AP,36,38,39,39,38,36
Tanzania,TZA,SSA,36,32,30,31,33,35
Armenia,ARM,ECA,35,33,35,37,36,34
Ethiopia,ETH,SSA,35,34,33,33,33,33
Macedonia,MKD,ECA,35,37,42,45,44,43
Vietnam,VNM,AP,35,33,31,31,31,31
Philippines,PHL,AP,34,35,35,38,36,34
Algeria,DZA,MENA,33,34,36,36,36,34
Bolivia,BOL,AME,33,33,34,35,34,34
El Salvador,SLV,AME,33,36,39,39,38,38
Maldives,MDV,AP,33,36,,,,
Niger,NER,SSA,33,35,34,35,34,33
Ecuador,ECU,AME,32,31,32,33,35,32
Egypt,EGY,MENA,32,34,36,37,32,32
Gabon,GAB,SSA,32,35,34,37,34,35
Pakistan,PAK,AP,32,32,30,29,28,27
Togo,TGO,SSA,32,32,32,29,29,30
Azerbaijan,AZE,ECA,31,30,29,29,28,27
Djibouti,DJI,SSA,31,30,34,34,36,36
Kazakhstan,KAZ,ECA,31,29,28,29,26,28
Liberia,LBR,SSA,31,37,37,37,38,41
Malawi,MWI,SSA,31,31,31,33,37,37
Mali,MLI,SSA,31,32,35,32,28,34
Nepal,NPL,AP,31,29,27,29,31,27
Moldova,MDA,ECA,31,30,33,35,35,36
Gambia,GMB,SSA,30,26,28,29,28,34
Iran,IRN,MENA,30,29,27,27,25,28
Myanmar,MMR,AP,30,28,22,21,21,15
Sierra Leone,SLE,SSA,30,30,29,31,30,31
Ukraine,UKR,ECA,30,29,27,26,25,26
Dominican Republic,DOM,AME,29,31,33,32,29,32
Honduras,HND,AME,29,30,31,29,26,28
Kyrgyzstan,KGZ,ECA,29,28,28,27,24,24
Laos,LAO,AP,29,30,25,25,26,21
Mexico,MEX,AME,29,30,31,35,34,34
Papua New Guinea,PNG,AP,29,28,25,25,25,25
Paraguay,PRY,AME,29,30,27,24,24,25
Russia,RUS,ECA,29,29,29,27,28,28
Bangladesh,BGD,AP,28,26,25,25,27,26
Guatemala,GTM,AME,28,28,28,32,29,33
Kenya,KEN,SSA,28,26,25,25,27,27
Lebanon,LBN,MENA,28,28,28,27,28,30
Mauritania,MRT,SSA,28,27,31,30,30,31
Comoros,COM,SSA,27,24,26,26,28,28
Guinea,GIN,SSA,27,27,25,25,24,24
Nigeria,NGA,SSA,27,28,26,27,25,27
Nicaragua,NIC,AME,26,26,27,28,28,29
Uganda,UGA,SSA,26,25,25,26,26,29
Cameroon,CMR,SSA,25,26,27,27,25,26
Mozambique,MOZ,SSA,25,27,31,31,30,31
Madagascar,MDG,SSA,24,26,28,28,28,32
Central African Republic,CAF,SSA,23,20,24,24,25,26
Burundi,BDI,SSA,22,20,21,20,21,19
Haiti,HTI,AME,22,20,17,19,19,19
Uzbekistan,UZB,ECA,22,21,19,18,17,17
Zimbabwe,ZWE,SSA,22,22,21,21,21,20
Cambodia,KHM,AP,21,21,21,21,20,22
Congo,COG,SSA,21,20,23,23,22,26
Democratic Republic of the Congo,COD,SSA,21,21,22,22,22,21
Tajikistan,TJK,ECA,21,25,26,23,22,22
Chad,TCD,SSA,20,20,22,22,19,19
Eritrea,ERI,SSA,20,18,18,18,20,25
Angola,AGO,SSA,19,18,15,19,23,22
Turkmenistan,TKM,ECA,19,22,18,17,17,17
Iraq,IRQ,MENA,18,17,16,16,16,18
Venezuela,VEN,AME,18,17,17,19,20,19
"Korea, North",PRK,AP,17,12,8,8,8,8
Equatorial Guinea,GNQ,SSA,17,,,,19,20
Guinea Bissau,GNB,SSA,17,16,17,19,19,25
Libya,LBY,MENA,17,14,16,18,15,21
Sudan,SDN,SSA,16,14,12,11,11,13
Yemen,YEM,MENA,16,14,18,19,18,23
Afghanistan,AFG,AP,15,15,11,12,8,8
Syria,SYR,MENA,14,13,18,20,17,26
South Sudan,SSD,SSA,12,11,15,15,14,
Somalia,SOM,SSA,9,10,8,8,8,8
Puerto Rico,PRI,AME,,,,63,62,63
